,track_name,_description
29,4ITcbrMbYwD3kuIG304nxO,hey julia the 502s hey julia midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity presenttime stomp and holler key7 
30,4cIedAXi7s8BYl4eRjC3Bc,juliet  single edit lmnt juliet - single edit midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity twothousands postteen pop boy band key9 
31,4jSE5cAaa5rwTyhDSXfwQN,say it over feat cautious clay ruel say it over (feat. cautious clay) midpopularity midacousticness middanceability lowenergy lowinstrumentalness midliveness highloudness minormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key2 
32,44TzvSZLIkM7Y7MEnrvkIl,stuck in the middle tai verdes stuck in the middle midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence highalbum_popularity highartist_popularity presenttime pop key2 
34,4d1CG5ei1E2vGbvmgf5KKv,this love taylor’s version taylor swift this love (taylor’s version) highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop key4 
35,6CBGSKincUDLG4DnzI9fxS,ive got the music in me emilia jones i've got the music in me lowpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity presenttime  key0 
36,7LOSn0jk5S4UicztXw0Rfu,its your thing emilia jones it's your thing lowpopularity highacousticness highdanceability lowenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity presenttime  key10 
37,1I30e2NOU7u9hANSu05bdk,beyond the shore emilia jones beyond the shore midpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity midartist_popularity presenttime  key5 
38,1YPgwJZ3IkU6MqYVaRIp6j,youre all i need to get by  duet version emilia jones you're all i need to get by - duet version midpopularity highacousticness highdanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity presenttime  key2 
39,5w94qYPwVF5UNW1RoE80AA,both sides now emilia jones both sides now midpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence midalbum_popularity midartist_popularity presenttime  key6 
42,1EEhU59CbUAW8TaLpxqNNZ,these days mackenzie porter these days midpopularity midacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity presenttime contemporary country country pop canadian country key9 
43,6FmgSnILynpsvDmWTE9uPW,johnny  june heidi newfield johnny & june midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity midartist_popularity twothousands country country dawn country road key5 
44,5Pgwi0iizu96RHxJ4xL3SH,strawberry wine deana carter strawberry wine midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity midartist_popularity nineties country contemporary country country dawn country road key1 
45,0vzv4fNNHbkVCTVGQwxxGw,fix you kacey musgraves fix you midpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop country dawn texas country key3 
46,0WB48shl2wAH4KqyQkQ8nJ,brokenheartsville joe nichols brokenheartsville midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity twothousands country contemporary country country road modern country rock key10 
48,32FX4D4eT8LFP07QvlhSn8,2 heads coleman hell 2 heads midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity presenttime pop rock canadian pop indie poptimism key0 
49,5YY6Z7YnjGOPxYy8ooZmLC,volcanic love the aces volcanic love midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity presenttime pop electropop indie poptimism alt z indie pop key6 
50,2dW3ZWlCrV4T1SBR1u1ttz,a kiss the driver era a kiss midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity presenttime pop modern alternative rock key6 
51,0VdIHp2hF3mFXnr2Slh6V6,forever mumford & sons forever midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime stomp and holler modern folk rock key11 
52,1mHoqHeQClLBp5UO3TbUac,the show lenka the show midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity twothousands  key0 
53,3vCUelLOtiuNF78p9LNWZF,soul lee brice soul highpopularity midacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence highalbum_popularity highartist_popularity presenttime country contemporary country country road key11 
54,1Tt7zr1yDbKbT8L4jzSZ74,when i am older josh gad when i am older midpopularity highacousticness highdanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity midartist_popularity presenttime hollywood movie tunes show tunes key8 
55,4y5bvROuBDPr5fuwXbIBZR,paper rings taylor swift paper rings highpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence highalbum_popularity highartist_popularity presenttime pop key9 
56,2SWBfqj1FrS8t8z56G55rP,i got you babe sonny & cher i got you babe midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity nineties mellow gold adult standards brill building pop key6 
57,69m9WDPBvemwujQwdONslk,theres your trouble the chicks there's your trouble midpopularity midacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity midartist_popularity nineties pop country country dawn key2 
58,5QS8PNEWbqTEZyQ6e9ZbJf,things a man oughta know lainey wilson things a man oughta know highpopularity midacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country key3 
59,0QZ5yyl6B6utIWkxeBDxQN,the night we met lord huron the night we met highpopularity highacousticness middanceability midenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime stomp and holler indie folk key2 
60,5rF6YUIlgiat22OT1lWspJ,seventeen going under sam fender seventeen going under highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime modern rock key1 
61,37ZKB38iNyKJ0xYEz9SJgk,josslyn olivia o'brien josslyn midpopularity lowacousticness middanceability highenergy lowinstrumentalness highliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop electropop alt z key11 
62,3MBdq6U779PbN8WSfsRZAx,save myself ashe save myself midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop postteen pop electropop alt z key9 
63,47Bg6IrMed1GPbxRgwH2aC,best friend rex orange county best friend midpopularity midacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop bedroom pop key6 
64,7d1GPc45c9wtmYxNSwLXTy,rivers and roads the head and the heart rivers and roads lowpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence lowalbum_popularity midartist_popularity twothousands folkpop stomp and holler indie folk key0 
65,1oHNvJVbFkexQc0BpQp7Y4,starships nicki minaj starships highpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity twothousands pop dance pop rap hip pop key11 
66,4z7gh3aIZV9arbL9jJSc5J,ghost ella henderson ghost midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop talent show uk pop tropical house pop dance key9 
67,5kqIPrATaCc2LqxVWzQGbk,7 years lukas graham 7 years highpopularity lowacousticness highdanceability midenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop danish pop key10 
68,07m8PuXxxv5J4qPEDq6ZkK,brand new ben rector brand new midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity presenttime pop rock neo mellow piano rock acoustic pop indiecoustica key9 
69,1Ov37jtRQ2YNAe8HzfczkL,wildest dreams taylors version taylor swift wildest dreams (taylor's version) highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key8 
70,0tbjiOUl4k492KPdWZS9sy,7 summers morgan wallen 7 summers midpopularity midacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country key0 
71,3CL0eXel8usNNSCQ6OT7KJ,just a little while the 502s just a little while lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo highvalence lowalbum_popularity midartist_popularity presenttime stomp and holler key5 
72,2PRunXHWku30BpqgZH1FPx,what’s going on  the voice performance paris winningham what’s going on - the voice performance lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key5 
73,2kDht3DpNvDmg2w0RlSpRa,jolene  the voice performance wendy moten jolene - the voice performance lowpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo midvalence lowalbum_popularity midartist_popularity presenttime  key0 
74,7708YxctcLGn5z3xUlkptE,stay  the voice performance jim and sasha allen stay - the voice performance lowpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo lowvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key7 
75,4hTa2cRX7sYfRKnI9xudtm,have ever you seen the rain  the voice performance jim and sasha allen have ever you seen the rain - the voice performance lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence lowalbum_popularity lowartist_popularity presenttime deep talent show key10 
