,track_id,track_name,track_duration,track_popularity,track_releaseDate,track_uri,artist_name,artist_id,album_id,album_name
690,4gi9OfBviK3K4pJq5fAA0I,I Was There,229973,37,2011-08-16,spotify:track:4gi9OfBviK3K4pJq5fAA0I,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,2KjyXCzIAZzJ6j70qPKvEj,Slave Ambient
691,26c1pgSO38s0mG57fXnqea,Disappearing,411626,44,2014-03-18,spotify:track:26c1pgSO38s0mG57fXnqea,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,51VxHZphGLsI7aUPqIkJaz,Lost In The Dream
692,78uf7QYfexQ1sggf2fsKzg,An Ocean In Between The Waves,431746,53,2014-03-18,spotify:track:78uf7QYfexQ1sggf2fsKzg,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,51VxHZphGLsI7aUPqIkJaz,Lost In The Dream
693,7DkiYfmTCB1Rv2uvdPuxBQ,Woman,457013,35,2016-09-02,spotify:track:7DkiYfmTCB1Rv2uvdPuxBQ,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,3CHcldbsbrBOOlw8cnLpNm,MY WOMAN
694,4Qzx5fRypU4q1wEaYwHpnr,Harmonia's Dream,386346,50,2021-10-29,spotify:track:4Qzx5fRypU4q1wEaYwHpnr,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,69jQsPvJzMvcb2fGqI2qaB,I Don’t Live Here Anymore
695,1KcOU0q9AMXV9xi4tSzzCc,Posthumous Forgiveness,366066,61,2020-02-14,spotify:track:1KcOU0q9AMXV9xi4tSzzCc,Tame Impala,5INjqkS1o8h1imAzPqGZBb,31qVWUdRrlb8thMvts0yYL,The Slow Rush
696,34B5INdEjbTXvNkCC5GtYz,Jason,185826,44,2020-05-15,spotify:track:34B5INdEjbTXvNkCC5GtYz,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,5qWrp5RcqjxB8ak7dtK6Iv,Set My Heart On Fire Immediately
697,05HElY3EVth4SMuOJOGusl,On the Floor,303600,48,2020-05-15,spotify:track:05HElY3EVth4SMuOJOGusl,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,5qWrp5RcqjxB8ak7dtK6Iv,Set My Heart On Fire Immediately
698,1DfRCC2qpjjzc6l5DmTjkG,Queen,230719,49,2014-09-22,spotify:track:1DfRCC2qpjjzc6l5DmTjkG,Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn,571wQuGuOOLTbbyYoujGra,Too Bright
699,1Uxti0PEEdieT526B8dAxZ,Somethinggreater,321466,55,2021-11-05,spotify:track:1Uxti0PEEdieT526B8dAxZ,Parcels,3oKRxpszQKUjjaHz388fVA,2FJj7NVoRCAwjFus0O1BXd,Day/Night
700,2gXYLIrLrHVViRCnbh8kCQ,NowIcaresomemore,179533,45,2021-11-05,spotify:track:2gXYLIrLrHVViRCnbh8kCQ,Parcels,3oKRxpszQKUjjaHz388fVA,2FJj7NVoRCAwjFus0O1BXd,Day/Night
701,0EvZksFiDpboeG4UVaIvJa,Theworstthing,183906,52,2021-11-05,spotify:track:0EvZksFiDpboeG4UVaIvJa,Parcels,3oKRxpszQKUjjaHz388fVA,2FJj7NVoRCAwjFus0O1BXd,Day/Night
702,0g4PeGxMoI44u5VGfhhNud,He Doesn't Know Why,200493,0,2008-06-03,spotify:track:0g4PeGxMoI44u5VGfhhNud,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,6XzZ5pg9buAKNYg293KOQ8,Fleet Foxes
703,54B9SGrQI1Yfu0vuoBZBGy,BULLETS,299000,49,2016-05-06,spotify:track:54B9SGrQI1Yfu0vuoBZBGy,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,6JD4Qerb8IcaAzFgpFw0sa,99.9%
704,6IizHJqeD17dTIfLxzfI9T,What Do It Mean,353254,43,2021-05-21,spotify:track:6IizHJqeD17dTIfLxzfI9T,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,5xiePX6kXj5ZsmUsqIqzeD,Long Lost
705,2I4EdLnGNy8FoWF20rhSb2,Late Bloomer,202829,43,2018-12-21,spotify:track:2I4EdLnGNy8FoWF20rhSb2,Mereba,294lNTPZfdqyzt8qnxmFiL,7yCduTDQ9upZbgCQHNgDfl,Late Bloomer
706,3vXnuFnC5RhPGwsFi0ORcI,Santé,190011,64,2021-10-15,spotify:track:3vXnuFnC5RhPGwsFi0ORcI,Stromae,5j4HeCoUlzhfWtjAfM1acR,5ZbmaYVO7Pg5TAGRQXleI5,Santé
707,2R4AlwtrrkMaRKojcTIzmL,For the First Time,182306,80,2017-05-05,spotify:track:2R4AlwtrrkMaRKojcTIzmL,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,4NNq2vwTapv4fSJcrZbPH7,This Old Dog
708,1H5N26VqHR4JhuaRKY2I0u,Heaven Knows I'm Miserable Now - 2011 Remaster,215760,68,1987,spotify:track:1H5N26VqHR4JhuaRKY2I0u,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,45StnugV9WQMQwk4rRoTy8,Louder Than Bombs
709,0l7juCsOXlk7gF6jet8tB0,3WW (feat. Lomepal) - Lomepal Version,195680,26,2018-09-28,spotify:track:0l7juCsOXlk7gF6jet8tB0,alt-J,3XHO7cRUPCLOr6jwp8vsx5,6bP7oaO2CxYqVeTYmWkHjx,Reduxer
710,1jyN2jROkI3dR6UbnkDPrp,U&ME,198840,44,2021-09-22,spotify:track:1jyN2jROkI3dR6UbnkDPrp,alt-J,3XHO7cRUPCLOr6jwp8vsx5,2LzUx0oJhUsjk4rBX8JAFK,U&ME
711,2LcXJP95e4HKydTZ2mYfrx,Tujh Mein Rab Dikhta Hai,281573,71,2008-11-06,spotify:track:2LcXJP95e4HKydTZ2mYfrx,Roop Kumar Rathod,03SZmfKAgYRQKUwy0EoJUa,7pbKuvQHUTwbq4FbevvEca,Rab Ne Bana Di Jodi (Original)
712,1CPoZksD5MBtt1bUr1de35,painty paint pots,172133,41,1999,spotify:track:1CPoZksD5MBtt1bUr1de35,800 Cherries,2VIw42JDmzjJjy03lx0nEW,3N9wv27gzl0UgFKxWiXwbZ,Romantico
713,0Ls4WLphg1obbq7wTPiy7k,My Mistakes Were Made For You,186546,51,2008-05-06,spotify:track:0Ls4WLphg1obbq7wTPiy7k,The Last Shadow Puppets,2Z7UcsdweVlRbAk5wH5fsf,4fxflUQfRpsSPzVVBMZLQm,The Age Of The Understatement
714,3evG0BIqEFMMP7lVJh1cSf,Don't Let Me Down - Remastered 2009,215733,67,1973-04-02,spotify:track:3evG0BIqEFMMP7lVJh1cSf,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,1cTeNkeINtXiaMLlashAKs,The Beatles 1967 - 1970 (Remastered)
715,5tThXZ3ujCRFkTVo7AueDG,Drake,167560,51,2021-08-13,spotify:track:5tThXZ3ujCRFkTVo7AueDG,Still Woozy,4iMO20EPodreIaEl8qW66y,0QnWm07An8WyO3eupjBDoP,"If This Isn’t Nice, I Don’t Know What Is"
716,4yqs26DeIseczNFLIpwHVq,Highway to the Sun,331160,39,2020-06-26,spotify:track:4yqs26DeIseczNFLIpwHVq,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,4yzBq7tSsGjnQS0GPmbWcE,MONOVISION
717,5fwabfmJtYmNbcNd2ISl3x,Phoenix (feat. Fleet Foxes & Anaïs Mitchell),255533,0,2021-07-22,spotify:track:5fwabfmJtYmNbcNd2ISl3x,Big Red Machine,7gXy60xRcwYujBFoYHnR2O,3hzBgKpVyownETEhtDeuMS,Phoenix (feat. Fleet Foxes & Anaïs Mitchell)
718,1Lfr9YBRpeSwCS14kBoTAg,Moon in the Morning,194266,49,2021-03-19,spotify:track:1Lfr9YBRpeSwCS14kBoTAg,Adam Melchor,54tv11ndFfiqXiR03PwdlB,1YRyAjsB08BYLAGB4oLPV2,Melchor Lullaby Hotline Vol. 1
719,4M6XHrTc4RtdgKN9gzEAM6,The King,206373,46,2021-06-04,spotify:track:4M6XHrTc4RtdgKN9gzEAM6,Sarah Kinsley,34A8vV1MCxGpA14KspqQuC,7jLKIQhOF5Umjmo99VY9AM,The King
720,4FyE9CrreXEaBeljcDzhms,Drops in the Lake,241375,41,2021-05-21,spotify:track:4FyE9CrreXEaBeljcDzhms,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,5xiePX6kXj5ZsmUsqIqzeD,Long Lost
721,2vWBUC9djv6BtiGlmKiQaH,YKWIM?,212750,83,2019-05-31,spotify:track:2vWBUC9djv6BtiGlmKiQaH,Yot Club,6FugQjLquBF4JzATRN70bR,60jUlxAOAcsiQUEW0XLroT,Bipolar
722,55DyBUkjebkcYhDGfEXitR,Cariño,258713,68,2018-08-17,spotify:track:55DyBUkjebkcYhDGfEXitR,The Marías,2sSGPbdZJkaSE2AbcGOACx,2VFNH1CUpSOnRKBBjjEDe6,Cariño
723,2YegRTu9IjiUg4VWfnXyM3,Sympathy,226733,38,2019-05-03,spotify:track:2YegRTu9IjiUg4VWfnXyM3,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,1A3nVEWRJ8yvlPzawHI1pQ,Father of the Bride
