,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,pop,dance pop,post-teen pop,k-pop,alt z,electropop,k-indie,r&b,pop rap,korean r&b,urban contemporary,hip pop,korean pop,indie poptimism,indie pop,hip hop,edm,neo soul,australian pop,modern indie pop,electro house,korean indie rock,rock,uk pop,korean electropop,pop dance,tropical house,australian dance,k-pop girl group,rap,viral rap,chill r&b,folk rock,escape room,indie r&b,folk,virginia hip hop,trap queen,minnesota hip hop,singer-songwriter,k-rap,k-rock,melancholia,pop rock,korean dream pop,korean trap,future bass,alternative rock,gen z singer-songwriter,german techno,golden age hip hop,girl group,mellow gold,k-pop boy group,indie rock,lilith,la pop,electronic trap,irish pop,melodic rap,complextro,modern rock,moombahton,neo mellow,contemporary r&b,new jersey rap,nz hip hop,nz pop,old school hip hop,piano rock,classic rock,queens hip hop,italian disco,battle rap,asian american hip hop,art pop,chill pop,pop soul,canadian singer-songwriter,brass band,boy band,bedroom pop,sad rap,second line,singaporean singer-songwriter,social media pop,uk funky,atl hip hop,southern hip hop,pop edm,street band,talent show,trap,vapor twitch,bass trap,trap soul,australian alternative pop,uk dance,korean mask singer
87,0PUkanqCGTb6qseXPKOw1F,I Don't Think I'm Okay,176250,53,spotify:track:0PUkanqCGTb6qseXPKOw1F,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,2FVXY7JKhLrYb5CExY0CDq,I Don't Think I'm Okay,0.574,0.445,0.33,0.0,0.102,-8.121,1,0.0429,128.025,4,0.187,42,72,2020,07,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0tVzXGFyNPusa1VkHmYDLd,Help Me,204320,0,spotify:track:0tVzXGFyNPusa1VkHmYDLd,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,2akjxkzFolkeV72Yyv5KrM,Court and Spark,0.484,0.579,0.536,5.4e-05,0.0937,-10.035,0,0.0388,81.868,4,0.67,0,54,1974,01,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2NWVdwbd2hPIzC2lyf4y63,Moral of the Story (feat. Niall Horan),198515,65,spotify:track:2NWVdwbd2hPIzC2lyf4y63,Ashe,6P5NO5hzJbuOqSdyPB7SJM,3pqw4TEWnaCDNK2xs0BKhr,Moral of the Story (feat. Niall Horan),0.495,0.599,0.374,0.0,0.221,-8.896,1,0.0385,119.9,4,0.224,54,70,2020,06,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,4jFD7byoPdGkEdjHLMduR9,Living Proof,194440,53,spotify:track:4jFD7byoPdGkEdjHLMduR9,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,3Vsbl0diFGw8HNSjG8ue9m,Romance,0.109,0.735,0.514,0.0,0.359,-5.464,1,0.082,77.566,4,0.517,70,81,2019,12,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0K2guQ8Z2I3PfrkiRnfew5,있지,218426,36,spotify:track:0K2guQ8Z2I3PfrkiRnfew5,JAURIM,6evmYxFbDSIHilUaYC9MhL,3IF1jhSCab7fmxdx6kSZRl,자우림,0.145,0.235,0.653,4.13e-05,0.142,-6.396,0,0.0472,167.28,4,0.218,29,41,2018,06,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2Ek3gMroGECVsbWSCwCYKJ,I'm the one,210000,0,spotify:track:2Ek3gMroGECVsbWSCwCYKJ,BLOO,3ghCvruix2FYZ81DHRlOt1,6RbEjHhXAy8SWJVQnFFjAs,BLOO IN WONDERLAND,0.0373,0.281,0.532,0.0,0.0818,-6.731,0,0.0518,143.379,4,0.128,0,48,2018,11,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,5d3Sc6GdXu02sWv0UjHazx,Return,207344,0,spotify:track:5d3Sc6GdXu02sWv0UjHazx,cacophony,5SZqfS7AE4YlbeoWm8hQZ9,3sPYHfGMlt8hG1wiA5A9ZU,Dream,0.637,0.521,0.546,0.0,0.153,-4.907,0,0.0311,120.552,3,0.28,0,22,2019,11,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,4rVW6XqAsSaf5vOwc8FREW,Wild (feat. Gary Clark Jr.),196906,65,spotify:track:4rVW6XqAsSaf5vOwc8FREW,John Legend,5y2Xq6xcjJb2jVM54GHK3t,7BRuKFs9BFuba9TlMs2ZLd,Bigger Love,0.036,0.557,0.585,0.0,0.176,-6.201,1,0.0431,63.392,4,0.305,60,77,2020,06,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0h9mUYPhZd2aQK2JmrHPD2,So In Love With Two,206933,24,spotify:track:0h9mUYPhZd2aQK2JmrHPD2,Mikaila,4KpcNmVL8B16qaOfqTjDc0,4di4RVG9saoggXSbOvsHAU,Mikaila,0.278,0.779,0.788,2.5e-06,0.0708,-4.63,0,0.0362,119.999,4,0.791,16,10,2001,01,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,02VHspkXhhH1QCInRWWIfr,Catching Feelings (feat. Six60),218854,53,spotify:track:02VHspkXhhH1QCInRWWIfr,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,39qXV1tvwnmPEDnFUEFz5G,Catching Feelings (feat. Six60),0.607,0.397,0.524,0.0,0.157,-5.846,1,0.103,175.562,4,0.343,42,56,2019,09,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
