,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,pop,pop rap,rap,post-teen pop,dance pop,pop r&b,emo rap,miami hip hop,canadian pop,hip hop,broadway,queens hip hop,hip pop,uk pop,electropop,show tunes,edm,hollywood,tropical house,pop dance,alt z,scandipop,pittsburgh rap,hawaiian hip hop,swedish electropop,swedish pop,southern hip hop,trap,atl hip hop,viral pop,melodic rap,pop rock,chill r&b,dirty south rap,indie pop rap,indie poptimism,conscious hip hop,detroit hip hop,electro,futuristic swag,gangster rap,heartland rock,la pop,mellow gold,mississippi hip hop,modern rock,neo mellow,north carolina hip hop,oakland hip hop,complextro,classic rock,canadian contemporary r&b,brostep,bedroom soul,otacore,pop punk,modern alternative rock,soft rock,uk funky,uk dance,stomp and holler,singer-songwriter,san diego rap,rock,album rock,post-grunge,viral rap
10,25a3Gvn8ZrPNxVIP6Y0hWJ,HATE MY GUTS,160216,0,spotify:track:25a3Gvn8ZrPNxVIP6Y0hWJ,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.123,0.774,0.428,0.0,0.13,-7.764,1,0.464,95.591,4,0.657,0,78,2019,04,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3EwBNn0TfjcLYCnSZBzdTY,SWEAR TO GOD,150262,0,spotify:track:3EwBNn0TfjcLYCnSZBzdTY,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.498,0.782,0.495,0.0,0.116,-7.462,0,0.0424,130.956,4,0.601,0,78,2019,04,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0LCNC3bpy3wGaBR8otzRuS,CHANGES,154225,0,spotify:track:0LCNC3bpy3wGaBR8otzRuS,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.0827,0.831,0.311,0.0,0.0927,-8.12,1,0.0546,100.113,4,0.388,0,78,2019,04,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2qCsMHBhz2qtQZ7m10DlO9,DOWN,139565,0,spotify:track:2qCsMHBhz2qtQZ7m10DlO9,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.107,0.76,0.662,0.000427,0.084,-5.451,0,0.107,148.026,4,0.846,0,78,2019,04,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1eDZZroWINYu4La7QG0eaY,BURNT AF,216838,0,spotify:track:1eDZZroWINYu4La7QG0eaY,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.302,0.65,0.247,0.0,0.266,-12.615,1,0.0384,110.907,4,0.242,0,78,2019,04,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3SvvcRoh5wgI7yacmYEPH8,HEARTBROKEN,134253,0,spotify:track:3SvvcRoh5wgI7yacmYEPH8,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.0399,0.555,0.588,0.0,0.259,-7.004,1,0.33,139.887,4,0.419,0,78,2019,04,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,39bs2V8huzcmWoeSlHKZeP,1 SIDED LOVE,170666,0,spotify:track:39bs2V8huzcmWoeSlHKZeP,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.236,0.584,0.42,0.0,0.119,-7.827,1,0.0322,90.051,4,0.283,0,78,2019,04,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0Dee9WPoyx7kAVTDyCrWCp,LOSING YOU,205004,0,spotify:track:0Dee9WPoyx7kAVTDyCrWCp,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.0654,0.447,0.391,0.00045,0.16,-11.344,0,0.0624,143.791,4,0.0703,0,78,2019,04,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0KQvM8WPf3k2U2vvvSDJJt,ITS ALL GONNA BURN,192371,0,spotify:track:0KQvM8WPf3k2U2vvvSDJJt,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.398,0.707,0.481,0.00072,0.131,-6.836,1,0.0286,96.954,4,0.209,0,78,2019,04,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2B5OzmyZjTq6XbzTUZb0JC,TOO CLOSE,161691,0,spotify:track:2B5OzmyZjTq6XbzTUZb0JC,blackbear,2cFrymmkijnjDg9SS92EPM,5DVpGdikHfxFWIELotC3FL,ANONYMOUS,0.0765,0.91,0.517,9.14e-06,0.125,-5.819,0,0.194,143.047,4,0.744,0,78,2019,04,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
