,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,pop,hip hop,rap,modern rock,r&b,rock,dance pop,neo soul,urban contemporary,indie r&b,alternative r&b,indie pop,indie rock,pop rap,electropop,permanent wave,bedroom soul,stomp and holler,bedroom pop,garage rock,indie soul,indie folk,modern alternative rock,british soul,alternative rock,conscious hip hop,hip pop,sheffield indie,chill r&b,lgbtq+ hip hop,indie poptimism,trap,chicago rap,southern hip hop,canadian contemporary r&b,alt z,post-teen pop,gangster rap,philly indie,la indie,edm,modern folk rock,underground hip hop,electro house,pop soul,atl hip hop,tropical house,pittsburgh rap,art pop,pop rock,canadian pop,modern alternative pop,contemporary r&b,baroque pop,pop punk,dmv rap,uk pop,west coast rap,uk contemporary r&b,escape room,indietronica,la pop,dirty south rap,east coast hip hop,alternative pop rock,folk-pop,shiver pop,oakland indie,classic rock,comic,irish singer-songwriter,texas pop punk,gauze pop,new jersey rap,albuquerque indie,album rock,pop r&b,latin pop,double drumming,new rave,mellow gold,adult standards,portland indie,soul,barbadian pop,pacific islands pop,slc indie,alternative hip hop,experimental house,south carolina hip hop,soft rock,socal pop punk,scandinavian r&b,reggae fusion,quiet storm,british invasion,easy listening,stomp pop,filter house,canadian hip hop
124,2W31oMmNa2wHNyavreExkH,Angel,235146,48,spotify:track:2W31oMmNa2wHNyavreExkH,Shaggy,5EvFsr3kj42KNv97ZEnqij,04bMI1jl7CB82LkdeHXyEo,The Boombastic Collection - Best of Shaggy,0.121,0.805,0.763,0.0,0.047,-2.955,1,0.0942,85.289,4,0.82,50,73,2008,01,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2Gp8o1SsczHq9rXKgiPWmk,Beautiful Mind (feat. Oddisee),154838,50,spotify:track:2Gp8o1SsczHq9rXKgiPWmk,Ciscero,5oSCIcpPdrO3UhTMATxkYL,4TwnlrA8SfLHu0KWlYZWol,Beautiful Mind (feat. Oddisee),0.1,0.934,0.281,1.71e-05,0.121,-15.571,0,0.299,124.051,4,0.667,39,45,2021,01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1RJl5cZ8kFpoVFOS2x6scI,Take Me Where Your Heart Is,192896,67,spotify:track:1RJl5cZ8kFpoVFOS2x6scI,Q,22vqVhfPJab5kkU9txDGX3,6Q3iHNU0fOwOxoCvyteue0,The Shave Experiment (Director's Cut),0.00586,0.858,0.426,0.761,0.0977,-8.879,0,0.0402,89.981,4,0.419,57,61,2021,06,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,7fTFqRvKcWUa8qQsxvO4WA,Fancy,216440,45,spotify:track:7fTFqRvKcWUa8qQsxvO4WA,Pip Millett,1QfEfvB62EEl4upf2ANKkR,5is5FG1Oej87wZeJMddUeD,Do Well,0.377,0.821,0.438,0.0,0.0892,-7.356,1,0.262,92.086,4,0.525,37,57,2019,06,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,6KdmNK9MogmGcnO3wNZHhp,Hard to Love (feat. Jessie Reyez),230586,51,spotify:track:6KdmNK9MogmGcnO3wNZHhp,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2HaqChIDc5go3qxVunBDK0,Funk Wav Bounces Vol.1,0.112,0.753,0.785,0.000191,0.0633,-6.53,1,0.174,148.015,4,0.85,70,85,2017,06,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,6YArGkJUr82ehzRFa2YaRK,Wake Me,163880,60,spotify:track:6YArGkJUr82ehzRFa2YaRK,Bleachers,2eam0iDomRHGBypaDQLwWI,0cnNCK2xpudXjB8pzsrYy9,Strange Desire,0.0951,0.818,0.374,0.0139,0.217,-10.666,0,0.0459,117.956,4,0.457,61,63,2014,07,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1B241LRKmK6qDDTZfUajmm,Cocoon,236887,66,spotify:track:1B241LRKmK6qDDTZfUajmm,Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,0C0OFASoQC57yC12vQhCwN,The Balcony,0.000254,0.446,0.91,9.76e-05,0.077,-4.481,0,0.0652,133.053,4,0.325,65,63,2014,09,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,0uBdQzKghx88d2Lp8SLFKJ,I'm In Love With You,262623,73,spotify:track:0uBdQzKghx88d2Lp8SLFKJ,The 1975,3mIj9lX2MWuHmhNCA7LSCW,3TI3FFFz3hKQfsL0izZ8JS,I'm In Love With You,0.169,0.668,0.902,8.74e-05,0.198,-3.924,1,0.0386,119.008,4,0.913,61,81,2022,09,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,5Ay81Q9Ms1TxEpW4K2sEdF,Harder To Breathe - Acoustic,189880,50,spotify:track:5Ay81Q9Ms1TxEpW4K2sEdF,Maroon 5,04gDigrS5kc9YWfZHwBETP,0BCjGDBIymcwf4etd4KBgu,1.22.03 Acoustic,0.482,0.693,0.798,0.0,0.735,-7.809,0,0.195,146.468,4,0.955,59,86,2004,,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0p1oF94MG2dOCbMSDsGMDj,walk but in a garden,114000,59,spotify:track:0p1oF94MG2dOCbMSDsGMDj,LLusion,5XBb04uBpKPWPWC2jXgGqb,03Glq418UekVfi6ud34yeg,walk but in a garden,0.832,0.832,0.351,0.939,0.111,-12.499,0,0.0814,79.99,4,0.406,47,54,2020,07,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
