,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,indie pop,pop,modern rock,gen z singer-songwriter,brooklyn indie,alt z,bubblegrunge,post-teen pop,slc indie,small room,canadian pop,boston folk,lo-fi indie,jacksonville indie,electropop,la indie,bedroom soul,chill r&b,cincinnati indie,connecticut indie,folk-pop,indie folk,permanent wave,modern indie folk,indie r&b,oklahoma country,stomp and holler,rock,acoustic rock,uk americana
11,38myyqOYMGOv93l0Z8SiJt,My Time,223828,31,spotify:track:38myyqOYMGOv93l0Z8SiJt,Cece Coakley,41cBCgJoK9bpY0Qy2SWIRN,4x5BAopph73GXj90ejiwGy,My Time,0.168,0.778,0.77,0.00529,0.274,-7.225,1,0.0349,128.004,4,0.894,20,35,2022,09,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,63mBWjtNRqf5vXK3QaUmMT,Anything,220426,34,spotify:track:63mBWjtNRqf5vXK3QaUmMT,Cece Coakley,41cBCgJoK9bpY0Qy2SWIRN,2hFkBGKPx001HO3CQuPG4e,Tender,0.652,0.642,0.317,9.83e-05,0.133,-10.55,1,0.0351,130.214,4,0.239,37,35,2022,06,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5hw0hFgKOgjJGey78ur2q2,Precooked Rice (blurry illusions),248513,37,spotify:track:5hw0hFgKOgjJGey78ur2q2,Olive Klug,3SEtmo8E5DJVuGddKYqeiU,1V0xUthco3E9wV9fYY4HRw,Precooked Rice (blurry illusions),0.836,0.75,0.323,1.39e-05,0.126,-7.767,1,0.035,102.996,4,0.612,26,44,2021,06,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,72Q3BQhu0w6A81ouAUp7UL,Raining in June,166138,56,spotify:track:72Q3BQhu0w6A81ouAUp7UL,Olive Klug,3SEtmo8E5DJVuGddKYqeiU,6QV1td1iGOspFOKYZOfUbv,Raining in June,0.935,0.369,0.195,4.62e-05,0.347,-13.836,1,0.0369,92.085,4,0.143,45,44,2021,08,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,7rNXmIrtLHJkGtobg9Anjj,Rattlesnake,296929,53,spotify:track:7rNXmIrtLHJkGtobg9Anjj,Jack Van Cleaf,7nW46aJfNHxK9Y3M5Dhadk,0TuAocqQPGkAMpdXsaWJxO,Fruit from the Trees,0.49,0.559,0.421,0.00451,0.104,-10.155,1,0.0334,78.474,4,0.292,43,40,2022,03,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2OjZhG8BnvrsVWqGnZk4PO,Sunday Funday,256629,54,spotify:track:2OjZhG8BnvrsVWqGnZk4PO,TOLEDO,2xK3hBpuuHSxmHr96TzgDO,3yAepUj1zxXIt5g7w6uvYT,Jockeys of Love,0.0352,0.429,0.699,0.291,0.126,-8.436,1,0.0404,82.971,4,0.686,45,44,2021,02,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0XDMbuw3mMWjRkvL9Pb2uV,Dog Has Its Day,190955,43,spotify:track:0XDMbuw3mMWjRkvL9Pb2uV,TOLEDO,2xK3hBpuuHSxmHr96TzgDO,3yAepUj1zxXIt5g7w6uvYT,Jockeys of Love,0.229,0.505,0.489,0.792,0.359,-9.943,1,0.031,77.298,4,0.772,45,44,2021,02,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3KpMIljGl7tngqYQFAzQlk,Some Samurai,294285,44,spotify:track:3KpMIljGl7tngqYQFAzQlk,TOLEDO,2xK3hBpuuHSxmHr96TzgDO,2bKMxT1xo3Gx0hNWqMJnxo,Hotstuff,0.198,0.469,0.679,1.5e-05,0.0744,-7.551,1,0.0321,126.118,4,0.501,39,44,2019,04,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,7rIHxFXrmVnl8OJxOtut6A,henna tattoo,145780,49,spotify:track:7rIHxFXrmVnl8OJxOtut6A,Field Medic,4wMfqR1EZagrSlYndItxGQ,6ZXR63Ak9IBfg6NkbBxFKA,fade into the dawn,0.573,0.683,0.844,0.736,0.0643,-6.409,1,0.0522,92.58,4,0.6,43,47,2019,04,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3CoP4in32rBBY5Se10uhqA,always emptiness,186550,44,spotify:track:3CoP4in32rBBY5Se10uhqA,Field Medic,4wMfqR1EZagrSlYndItxGQ,5YCEWH1mVK86feTnIOBtHQ,grow your hair long if you’re wanting to see something that you can change,0.688,0.602,0.284,0.0417,0.125,-11.168,1,0.0259,88.98,4,0.452,41,47,2022,10,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
