,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,neo mellow,pop rock,pop,country,contemporary country,dance pop,country road,pop rap,worship,ccm,post-teen pop,miami hip hop,christian music,edm,modern country rock,piano rock,christian alternative rock,celtic rock,country pop,world worship,folk-pop,christian indie,alternative metal,pop punk,modern rock,post-grunge,nu metal,canadian contemporary country,anthem worship,vegas indie,australian country,australian pop,black americana,christian rock,canadian country,permanent wave,neon pop punk,indie poptimism,indiecoustica,modern blues rock,alberta country
12,0i5el041vd6nxrGEU8QRxy,Cruise,208960,71,spotify:track:0i5el041vd6nxrGEU8QRxy,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,5MH765pytbQasmDxXArTah,Here's To The Good Times,0.0191,0.457,0.948,0.0,0.0536,-3.364,1,0.0354,148.0,4,0.878,64,74,2012,01,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6hOHH3nj5VI7IskIUic0WQ,Yesterday's Song,223971,0,spotify:track:6hOHH3nj5VI7IskIUic0WQ,Hunter Hayes,7H6dkUChT5EoOQtUVMg4cN,45OJIZ14xmzG1xqm8FUmUY,Yesterday's Song,0.000808,0.571,0.903,0.0,0.292,-4.101,1,0.0538,128.011,4,0.738,0,59,2016,09,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6RSNKGdv3nDTHqgw4bdzyF,Yours,216960,0,spotify:track:6RSNKGdv3nDTHqgw4bdzyF,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,2iarUPEwf9aLuvE0PDvpfi,Yours,0.119,0.555,0.722,0.0,0.0861,-6.005,1,0.034,134.058,4,0.559,0,67,2017,10,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2oPCR02nduYVpj7CTfsA0d,Blue Tacoma,212066,0,spotify:track:2oPCR02nduYVpj7CTfsA0d,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,2iarUPEwf9aLuvE0PDvpfi,Yours,0.0183,0.455,0.897,0.0,0.174,-4.879,1,0.0403,160.139,4,0.728,0,67,2017,10,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4mnuiEDq1ADXUTYWJxLo4B,Helluva Life,231693,50,spotify:track:4mnuiEDq1ADXUTYWJxLo4B,Frankie Ballard,0dvKgSdNB2U1gfp6ZcekYi,5VYrfPF3z9311jpQYEWjof,Sunshine & Whiskey,0.0676,0.564,0.76,0.0,0.144,-5.667,1,0.0277,134.015,4,0.528,55,49,2014,04,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4gB7HrYHbJVJ5RFOjxmoq4,One Number Away,221800,71,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,Luke Combs,718COspgdWOnwOFpJHRZHS,1lhNch5NkOONvFhRPh8qaj,This One's for You,0.00585,0.544,0.781,0.0,0.191,-6.16,0,0.0311,144.075,4,0.527,74,81,2017,06,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,498ZVInMGDkmmNVpSWqHiZ,May We All,226173,68,spotify:track:498ZVInMGDkmmNVpSWqHiZ,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,09KOjaflTBRE28GVvXqkYC,Dig Your Roots,0.0409,0.514,0.918,0.0,0.342,-4.306,1,0.0365,150.033,4,0.64,65,74,2016,08,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,45sziCSqS4BWSQWUlLRpyf,Dare You to Move,246826,53,spotify:track:45sziCSqS4BWSQWUlLRpyf,Switchfoot,6S58b0fr8TkWrEHOH4tRVu,2VEuUgMk7r1fFYQ4toPVHc,The Best Yet,0.0196,0.439,0.908,0.00537,0.137,-4.08,1,0.0644,140.009,4,0.35,47,58,2008,10,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1LWEjUzrngRXdUBaf7GWYI,She Sets The City On Fire,218631,43,spotify:track:1LWEjUzrngRXdUBaf7GWYI,Gavin DeGraw,5DYAABs8rkY9VhwtENoQCz,2btzN3yegUKdpsN9dcXwGZ,She Sets The City On Fire,0.0139,0.617,0.615,0.0,0.0897,-6.518,1,0.0567,125.898,4,0.564,32,61,2016,07,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,49rpdsNYJirTTf6p6mMvag,Angel With A Shotgun,221386,61,spotify:track:49rpdsNYJirTTf6p6mMvag,The Cab,2C2sVVXanbOpymYBMpsi89,27kmprYNLOGnR8roobHW5D,Symphony Soldier,0.00549,0.546,0.837,0.0,0.387,-5.13,1,0.0519,124.007,4,0.402,55,57,2011,,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
