,track_id,track_name,track_duration,track_popularity,track_uri,artist_name,artist_id,album_id,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,artist_popularity,track_releaseYear,track_releaseMonth,key_0,key_1,key_10,key_3,key_4,key_5,key_6,key_7,key_8,key_9,pop,deep new americana,indie pop,indie folk,stomp and holler,rock,modern rock,alternative rock,pop rock,dance pop,indie poptimism,canadian pop,permanent wave,grunge,australian indie,australian pop,barbadian pop,baroque pop,bedroom pop,belgian indie,canadian contemporary r&b,eurodance,candy pop,chamber pop,dark synthpop,electropop,emo rap,anti-folk,europop,garage rock,art rock,twee pop,brill building pop,alternative metal,melancholia,indie soul,nashville indie,indie rock,alt z,pop rap,rock-and-roll,scottish indie,scottish rock,singer-songwriter,soul,spacegrunge,urban contemporary,post-teen pop,hip hop,vapor soul
0,71cEGt2SrA5toSCCTVpLMU,Played-A-Live (The Bongo Song) - Radio Edit,200333,61,spotify:track:71cEGt2SrA5toSCCTVpLMU,Safri Duo,2UOx6w3eHpPKc3RBnNV3Rl,1MxM3wvwaHMpSSCYovfgGN,Played-A-Live (The Bongo Song),0.0738,0.594,0.996,0.937,0.956,-6.993,0,0.0633,138.01,4,0.349,50,53,2000,01,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0KM3ZIXSTxKDevkVXdBmsz,Three Six Five,271892,40,spotify:track:0KM3ZIXSTxKDevkVXdBmsz,My Friend,57pjGiJ0dRoKtoXahvj6qG,1S3wi0ziiC4c8zQzoYCb7R,Three Six Five,0.0236,0.529,0.754,0.0311,0.191,-6.254,1,0.0278,99.981,4,0.493,29,22,2018,06,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6i5dlTpkjpwwHOOYdLscHr,To Sheila,280586,44,spotify:track:6i5dlTpkjpwwHOOYdLscHr,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,7ysKTnHt4ve0MvIWm3vPdz,Adore (Super Deluxe),0.774,0.471,0.162,0.000352,0.0936,-16.937,1,0.0347,110.118,4,0.206,55,71,1998,,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,3UMrglJeju5yWyYIW6o99b,The Great War,240355,87,spotify:track:3UMrglJeju5yWyYIW6o99b,Taylor Swift,06HL4z0CvFAxyc27GXpf02,3lS1y25WAhcqJDATJK70Mq,Midnights (3am Edition),0.219,0.573,0.741,2.23e-05,0.0842,-8.987,1,0.0353,96.016,4,0.554,97,100,2022,10,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6PeV3ho9kjOYRRT5xJHMYU,Blue,226833,43,spotify:track:6PeV3ho9kjOYRRT5xJHMYU,SAIAH,5ZPYeVqoWNuukwfarvkyJX,295P3WgTJDQQ27tzM5yWRU,Blue,0.0351,0.361,0.867,0.000882,0.206,-3.949,0,0.0454,179.989,4,0.226,32,41,2022,11,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6PyZGb1rB7oLKCICWTmGYa,Say It,220960,57,spotify:track:6PyZGb1rB7oLKCICWTmGYa,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,5AHWNPo3gllDmixgAoFru4,Heard It In A Past Life,0.208,0.557,0.496,0.00824,0.147,-7.184,1,0.0332,84.912,4,0.248,65,64,2019,01,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,410Dyzp3pMS7ubsGugH5oC,The Efferusphere,168920,42,spotify:track:410Dyzp3pMS7ubsGugH5oC,Big Wild,0PxzGnCYBpSuaI49OR94cA,1URVqxp9YmQ8i32dCjlsUA,The Efferusphere,0.967,0.478,0.256,0.0646,0.111,-10.053,1,0.0302,72.915,4,0.109,45,60,2022,09,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5PaZBTR4C52ABPWylTbPPi,3DB,223571,43,spotify:track:5PaZBTR4C52ABPWylTbPPi,Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau,6Yt0PaoF7fam5rueKnkBVW,3DB,0.901,0.325,0.362,0.0243,0.105,-13.525,1,0.0403,165.86,4,0.219,32,58,2022,04,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6me7F0aaZjwDo6RJ5MrfBD,Evergreen,87000,70,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau,2weOG4ZiOjfxiuFMsHm9JQ,RMCM,0.557,0.555,0.216,0.00416,0.109,-11.661,1,0.0721,79.109,3,0.504,64,58,2017,05,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1jlG3KJ3gdYmhfuySFfpO1,I'm with You,223066,72,spotify:track:1jlG3KJ3gdYmhfuySFfpO1,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,3zXjR3y2dUWklKmmp6lEhy,Let Go,0.08,0.457,0.406,0.0,0.117,-7.462,1,0.0291,151.95,3,0.208,74,75,2002,06,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,2PV8oZJo3K3bXENO7FRRtp,The Boy With The Arab Strap,314173,48,spotify:track:2PV8oZJo3K3bXENO7FRRtp,Belle and Sebastian,4I2BJf80C0skQpp1sQmA0h,4AChnLbiWqxiotXz8kv6D7,The Boy With The Arab Strap,0.362,0.576,0.83,0.0118,0.0759,-9.89,1,0.0583,142.385,4,0.691,41,57,1998,09,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2eAvDnpXP5W0cVtiI0PUxV,Dandelions,233720,89,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,6FgtuX3PtiB5civjHYhc52,Safe Haven,0.0157,0.609,0.692,0.0,0.0864,-2.958,1,0.0259,116.959,3,0.454,80,75,2017,05,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5unjCay0kUjuej5ebn4nS4,Down In Atlanta,164041,82,spotify:track:5unjCay0kUjuej5ebn4nS4,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,3SxiMoJROq0kvfbQtd75xp,Down In Atlanta,0.337,0.851,0.819,0.000153,0.0658,-5.173,1,0.212,83.154,3,0.903,71,80,2022,11,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,0Ho55XknDOdL8IK2ghGjB2,Laramee,241860,44,spotify:track:0Ho55XknDOdL8IK2ghGjB2,Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau,0bUuPxAp0NaBOF8PXwG0z7,Laramee,0.909,0.588,0.203,2.05e-05,0.132,-12.396,1,0.0341,114.659,3,0.206,33,58,2022,11,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
